index,Prix,Processeur,RAM,Résolution,Stockage,Systeme_exploitation,Poids,Marque,Coeurs,Taille,Bluetooth,USB,HDMI,Sortie_audio,Caméra,Carte_sd
110,Entre 400 et 600,Intel Core i3,8,1920x1080,256,Windows 10,1.64,TOSHIBA,4,15.6,False,False,False,False,False,False
111,Entre 800 et 1150,Intel Core i5,16,1920x1080,512,Windows 10,2.46,LENOVO,4,15.6,False,True,True,True,True,False
112,Entre 400 et 600,Intel Core i5,8,1920x1080,256,Windows 10,1.76,TOSHIBA,4,15.6,False,True,True,True,True,True
113,>1150,Apple M1,16,2560x1600,512,MacOS,1.4,APPLE,4,13.3,False,True,False,False,True,False
114,>1150,Intel Core i7,16,1920x1080,512,Windows 10,2,ASUS,4,15.6,False,True,True,True,False,False
115,Entre 400 et 600,AMD Ryzen,8,1920x1080,256,Windows 10,1.64,HP,4,15.6,False,False,False,False,False,False
116,Entre 800 et 1150,Intel Core i5,8,1920x1080,512,Windows 10,2.2,LENOVO,4,15.6,False,True,True,True,True,False
117,Entre 400 et 600,Intel Core i3,8,1600x900,256,Windows 10,2.2,LENOVO,2,17.3,False,True,True,True,True,True
118,Entre 400 et 600,Intel Celeron,8,1600x900,512,Windows 10,1.85,THOMSON,4,17.3,False,True,True,True,True,True
119,Entre 600 et 800,AMD Ryzen,8,1920x1080,512,Windows 10,2.25,LENOVO,6,15.6,False,True,True,True,True,False
120,>1150,Apple M1,16,,1000,MacOS,1.6,APPLE,10,15.6,False,True,True,True,True,True
121,Entre 600 et 800,Intel Core i5,2,1920x1080,1000,Windows 10,1.64,ASUS,4,15.6,False,True,True,False,False,False
123,Entre 250 et 400,Intel Core i5,8,,256,Windows 10,1.64,LENOVO,4,15.6,False,False,False,False,False,False
124,>1150,Intel Core i7,16,3072x1920,512,MacOS,2,APPLE,6,16,False,True,False,True,True,False
127,Entre 600 et 800,Intel Core i5,8,1920x1080,256,ChromeOS,1.95,ASUS,4,15.6,False,True,True,False,True,True
128,Entre 400 et 600,Intel Core i3,8,1920x1080,256,Windows 10,1.64,LENOVO,2,15.6,False,True,True,True,True,True
133,Entre 250 et 400,Intel Celeron,8,1920x1080,256,Windows 10,1.64,AUTRES,4,15.6,False,False,False,False,False,False
134,Entre 400 et 600,Intel Core i3,4,1920x1080,256,Windows 10,1.64,HP,4,15.6,False,False,False,False,False,False
135,Entre 800 et 1150,Intel Core i7,8,1920x1080,512,Windows 10,1.11,ASUS,4,13.3,False,True,True,True,True,True
136,Entre 800 et 1150,Intel Core i5,16,1920x1080,512,Windows 10,1.64,ASUS,4,15.6,False,True,True,True,False,False
137,Entre 800 et 1150,AMD Ryzen,8,1920x1080,512,Windows 11,1.6,MSI,8,15.6,False,True,True,True,True,True
138,Entre 800 et 1150,AMD Ryzen,16,1920x1080,512,Windows 11,1.6,MSI,8,15.6,False,True,True,True,True,True
140,Entre 800 et 1150,Intel Core i5,8,1920x1080,512,Windows 10,2.3,ACER,6,15.6,False,True,True,True,True,False
141,Entre 600 et 800,AMD Ryzen,8,1920x1080,512,Windows 10,1.6,LENOVO,4,14,False,True,True,True,True,True
142,Entre 250 et 400,Intel Pentium,4,1920x1080,128,Windows 10,1.3,ACER,4,14,False,True,True,True,True,False
143,Entre 800 et 1150,AMD Ryzen,16,1920x1080,512,Windows 10,1.3,ASUS,8,14,False,True,True,True,True,True
144,Entre 400 et 600,Intel Core i5,4,1920x1080,256,Windows 10,1.64,HP,4,17.3,False,False,False,False,False,False
145,Entre 400 et 600,Intel Core i5,8,,256,Windows 10,1.64,LENOVO,4,15.6,False,False,False,False,False,False
146,>1150,Intel Core i7,16,2560x1600,512,Windows 10,2.26,MSI,8,16,False,True,True,True,True,False
